level_0	index	sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
95	95	1	7	8570	15948	1.0	20x	raw	a647	69	71.752	252.114	54.855	0.285	1.951	2.838	1.3969999999999998	0	2.41353282008363	0.285
96	96	1	153	5264	9672	1.0	20x	raw	a647	0	609.065	449.8730000000001	51.135	0.284	2.104	12.537	-1.0	0	4.9998329031884285	0.284
97	97	1	24	5597	9324	1.0	20x	raw	a647	13	124.12	138.084	54.13800000000001	0.28300000000000003	2.148	20.564	1.301	0	11.3760696810596	0.28300000000000003
98	98	1	84	7434	14410	1.0	20x	raw	a647	0	306.956	51.145	53.045	0.28300000000000003	1.7280000000000002	9.721	-1.0	0	5.4753975156541586	0.28300000000000003
99	99	1	2	4356	8129	1.0	20x	raw	a647	51	12.988	172.97299999999996	53.011	0.282	1.663	12.399	1.291	0	5.67877199694841	0.282
100	100	1	17	3744	8437	1.0	20x	raw	a647	0	42.853	396.897	46.847	0.282	4.606	1.997	-1.0	0	2.21521002687185	0.282
101	101	1	21	4421	8778	1.0	20x	raw	a647	13	117.921	78.047	53.219	0.281	0.998	7.576	1.348	0	7.96329069169261	0.281
104	104	1	7	8570	15948	1.0	20x	raw	a647	0	78.962	236.791	54.099	0.278	1.756	10.357	-1.0	0	5.29027257546923	0.278
105	105	1	59	4563	10818	1.0	20x	raw	a647	103	208.886	405.04	51.08600000000001	0.277	2.19	4.003	1.246	0	4.47014953074836	0.277
106	106	1	124	5941	9644	1.0	20x	raw	a647	0	555.138	362.941	51.871	0.277	3.268	7.99	-1.0	0	5.33124614015124	0.277
175	175	1	147	7146	12892	1.0	20x	raw	a647	0	594.018	375.971	51.953	0.241	2.352	2.397	-1.0	0	2.87745228052934	0.241
108	108	1	119	5734	8814	1.0	20x	raw	a647	83	500.8130000000001	334.00699999999995	49.897	0.276	1.589	6.285	1.32	0	7.02263575901281	0.276
109	109	1	122	5016	7657	1.0	20x	raw	a647	83	539.965	334.976	52.032	0.276	2.25	10.981	1.251	0	8.82447730910203	0.276
110	110	1	34	12042	22664	1.0	20x	raw	a647	81	99.971	365.764	52.979	0.275	2.123	4.1930000000000005	1.308	0	3.43335966436221	0.275
111	111	1	34	12042	22664	1.0	20x	raw	a647	81	99.984	367.009	54.063	0.275	1.668	6.011	1.321	0	4.82628838960026	0.275
112	112	1	120	15858	22102	1.0	20x	raw	a647	0	538.026	356.089	54.88800000000001	0.273	1.898	6.725	-1.0	0	5.58886623715907	0.273
113	113	1	34	12042	22664	1.0	20x	raw	a647	81	81.994	354.0630000000001	53.008	0.272	2.029	15.729	1.1740000000000002	0	5.388056608006232	0.272
114	114	1	7	8570	15948	1.0	20x	raw	a647	69	82.005	246.896	57.089	0.271	1.472	5.7970000000000015	1.281	0	2.9926665143611606	0.271
115	115	1	26	7168	14005	1.0	20x	raw	a647	0	180.019	145.018	53.217	0.271	1.579	16.503	-1.0	0	8.76729249834647	0.271
116	116	1	24	5597	9324	1.0	20x	raw	a647	0	148.047	109.934	54.838	0.27	1.396	6.489	-1.0	0	6.162050826063268	0.27
117	117	1	147	7146	12892	1.0	20x	raw	a647	93	589.068	368.828	52.98	0.269	2.3280000000000003	7.417000000000002	1.346	0	5.12713993381492	0.269
636	636	1	7	8570	15948	1.0	20x	raw	a647	69	78.975	249.894	50.174	0.165	2.25	6.266	1.33	0	4.41788555265555	0.165
119	119	1	6	4677	8732	1.0	20x	raw	a647	69	52.774	260.09	50.869	0.269	2.057	3.642	1.317	0	3.32089678267357	0.269
152	152	1	6	4677	8732	1.0	20x	raw	a647	69	68.99	256.829	56.23	0.252	2.426	5.062	1.263	0	4.862622632257071	0.252
121	121	1	18	11165	21464	1.0	20x	raw	a647	13	73.935	73.031	54.869	0.266	1.729	3.5610000000000004	1.273	0	4.1797400856553	0.266
123	123	1	124	5941	9644	1.0	20x	raw	a647	0	550.026	356.939	53.996	0.265	2.525	4.1530000000000005	-1.0	0	4.95441007651435	0.265
124	124	1	122	5016	7657	1.0	20x	raw	a647	83	539.989	333.973	50.975	0.265	2.341	5.905	1.212	0	5.77956685231042	0.265
126	126	1	124	5941	9644	1.0	20x	raw	a647	0	549.9209999999998	358.038	53.006	0.265	2.199	2.785	-1.0	0	2.92144136640162	0.265
264	264	1	18	11165	21464	1.0	20x	raw	a647	0	84.954	55.01300000000001	58.034	0.215	1.6	7.718	-1.0	0	8.05434232589481	0.215
128	128	1	34	12042	22664	1.0	20x	raw	a647	81	81.06	354.099	55.173	0.264	1.965	11.36	1.287	0	9.3037718419431	0.264
129	129	1	24	5597	9324	1.0	20x	raw	a647	0	146.915	109.961	56.075	0.264	1.768	12.731	-1.0	0	4.608174149485411	0.264
130	130	1	21	4421	8778	1.0	20x	raw	a647	13	106.134	79.919	51.803	0.264	2.425	10.628	1.271	0	9.86246463455394	0.264
