sid,nid,size,dilated_size
5,73,3,3
5,74,114,201
5,75,2306,4634
5,76,3301,6304
5,77,6678,15191
5,78,4329,9428
5,79,5796,12295
5,80,4098,8264
5,81,4005,8136
5,82,1809,4456
5,83,4347,10495
5,84,7096,11608
5,85,2287,3481
5,86,5490,11523
5,87,4642,8658
5,88,4205,6196
5,89,4920,9011
5,90,2634,5203
5,91,6994,14132
5,92,6777,11264
5,93,4164,9160
5,94,1417,2378
5,95,2195,5397
5,96,3309,7190
5,97,2561,5704
5,98,930,1662
5,99,2142,4122
5,100,1495,3340
5,101,7104,13363
5,102,4033,8312
5,103,3885,8393
5,104,4116,8661
5,105,4306,8080
5,106,8001,14685
5,107,2684,6122
5,108,6003,11757
5,109,3218,6496
5,110,2547,5374
5,111,6802,13083
5,112,2005,4706
5,113,1631,2657
5,114,6921,14812
5,115,3784,8173
5,116,15498,31923
5,117,2601,7405
5,118,4914,10473
5,119,2880,7880
5,120,1342,3359
5,121,147,498
5,122,1472,3382
5,123,4068,10657
5,124,4410,11478
5,125,2673,6551
5,126,2808,7556
5,127,8727,18330
5,128,2790,6058
5,129,2376,4638
5,130,3138,6746
5,131,3465,8847
5,132,4815,10183
5,133,6291,14171
5,134,3603,7786
5,135,6042,11090
5,136,5118,11535
5,137,3276,7981
5,138,4725,10934
5,139,4431,10232
5,140,3300,7552
5,141,14055,27215
5,142,1828,3289
5,143,2274,3723
5,144,1158,2739
5,145,1392,3599
5,146,3270,7074
5,147,3932,7872
5,148,5640,11512
5,149,4266,10276
5,150,3798,9508
5,151,5062,9585
5,152,3477,8300
5,153,6516,15211
5,154,8174,19361
5,155,6890,14896
5,156,6016,12316
5,157,5195,9535
5,158,1623,3987
5,159,1528,3002
5,160,2916,6617
5,161,5742,11124
5,162,2689,5333
5,163,3681,9013
5,164,4048,6769
5,165,13806,29136
5,166,3019,5450
5,167,4181,7572
5,168,12507,24548
5,169,1126,2393
5,170,3447,7054
5,171,2408,4133
5,172,7447,13153
5,173,9121,15919
5,174,1887,3193
5,175,5004,9448
6,1,2362,3579
6,2,4227,8561
6,3,771,1536
6,4,5687,8449
6,5,3735,8643
6,6,5463,11698
6,7,3539,5869
6,8,4032,9238
6,9,2475,6946
6,10,3546,6756
6,11,2556,7276
6,12,3342,6397
6,13,5764,12004
6,14,3102,6344
6,15,6936,11772
6,16,1533,1987
6,17,4923,9689
6,18,3455,6435
6,19,6275,12723
6,20,9202,15761
6,21,2806,6034
6,22,4836,9718
6,23,2611,5702
6,24,2479,4533
6,25,6113,10192
6,26,2054,3480
6,27,2789,5894
6,28,3000,5141
6,29,7397,15105
6,30,4548,7939
6,31,5382,9814
6,32,1206,1877
6,33,4261,7181
6,34,4176,8524
6,35,3570,5788
6,36,1815,3031
6,37,12505,24459
6,38,1396,1620
6,39,2718,5992
6,40,3654,8178
6,41,4363,9059
6,42,6747,12496
6,43,1539,2610
6,44,1166,1794
6,45,3433,6969
6,46,3077,5790
6,47,10175,18647
6,48,2121,4344
6,49,3534,7250
6,50,3742,6208
6,51,4392,9203
6,52,5795,10503
6,53,1955,2998
6,54,7391,10543
6,55,4365,8626
6,56,2981,5620
6,57,4473,8599
6,58,645,651
6,59,4574,7524
6,60,3250,6199
6,61,3097,5759
6,62,2270,3197
6,63,3856,7587
6,64,3978,8434
6,65,4769,8682
6,66,3060,6529
6,67,7110,13991
6,68,2634,6006
6,69,3961,8128
6,70,10620,21698
6,71,3205,6566
6,72,6021,11997
6,73,3765,8107
6,74,2807,5568
6,75,2566,5558
6,76,5985,13103
6,77,3537,8794
6,78,3650,5759
6,79,10337,16572
6,80,1987,4620
6,81,2441,5613
6,82,3726,8800
6,83,7697,11796
6,84,2064,5102
6,85,9783,20466
6,86,924,1617
6,87,2160,4624
6,88,6867,13274
6,89,4312,7983
6,90,4923,11134
6,91,2955,7487
6,92,2898,7519
6,93,6552,12653
6,94,4972,9656
6,95,6957,16555
6,96,7374,14661
6,97,6224,13079
6,98,4034,6487
6,99,4759,8557
6,100,7143,15029
6,101,3893,9170
6,102,1774,3936
6,103,5514,12135
6,104,2602,5920
6,105,12845,23236
6,106,5328,11078
6,107,4185,9000
6,108,5778,12142
6,109,3531,6233
6,110,912,1649
6,111,2880,6072
6,112,3195,8329
6,113,5616,14430
6,114,3360,7239
6,115,4968,11215
6,116,6229,13233
6,117,3796,7627
6,118,3,3
6,119,6421,11089
6,120,9333,17698
6,121,4797,10902
6,122,7011,14014
6,123,3460,5649
6,124,1547,2825
6,125,4050,7937
6,126,5798,11931
6,127,3127,6328
6,128,3823,6635
6,129,1776,3876
6,130,15306,28733
6,131,4581,10279
6,132,6777,12542
6,133,5499,11605
6,134,1026,3012
6,135,7512,13967
6,136,954,2461
6,137,12678,21258
6,138,5586,11282
6,139,4705,10360
6,140,3807,8810
6,141,16468,26878
6,142,2790,7496
6,143,3438,8773
6,144,2025,4845
6,145,3651,8515
6,146,1815,4722
6,147,2262,5086
6,148,2591,5575
6,149,593,880
6,150,117,201
6,151,3516,7987
6,152,1973,4233
6,153,1570,3894
6,154,8596,15835
6,155,3573,9217
6,156,2624,6321
6,157,2340,4855
6,158,15296,33286
6,159,3195,6692
6,160,4034,9118
6,161,3508,6295
6,162,7782,17198
6,163,4113,9452
6,164,3942,8675
6,165,1715,4328
6,166,2101,4688
6,167,1712,3874
6,168,2352,4549
6,169,12480,22677
6,170,4740,10391
6,171,4162,8601
6,172,9219,18793
6,173,5402,10519
6,174,838,1509
6,175,9468,15204
6,176,4002,8094
6,177,2325,4714
6,178,2149,3185
6,179,5707,12099
6,180,4340,8270
6,181,2565,6892
6,182,1178,1981
6,183,14,14
6,184,1921,2855
7,1,1330,1965
7,2,4133,6825
7,3,2497,5081
7,4,1400,3080
7,5,2007,5261
7,6,3609,8364
7,7,4743,10624
7,8,4285,7971
7,9,6552,14620
7,10,5296,10036
7,11,11043,16684
7,12,3692,7182
7,13,2902,6079
7,14,4009,7884
7,15,4663,8369
7,16,12447,21799
7,17,1478,2693
7,18,2433,5140
7,19,2487,4375
7,20,3970,7870
7,21,3927,6794
7,22,7806,12774
7,23,2836,5656
7,24,725,1674
7,25,2064,4470
7,26,6515,13429
7,27,2686,6061
7,28,1886,4131
7,29,5158,10137
7,30,6785,12714
7,31,786,2421
7,32,408,1308
7,33,732,1660
7,34,27561,49067
7,35,12675,21377
7,36,5877,12525
7,37,3285,9285
7,38,3744,8650
7,39,7497,15268
7,40,11834,19873
7,41,6306,13974
7,42,5413,13094
7,43,4161,6899
7,44,3558,8468
7,45,1569,4338
7,46,5856,12826
7,47,3852,9751
7,48,2193,4622
7,49,3123,6670
7,50,2073,3847
7,51,4974,11032
7,52,2895,6454
7,53,3390,6320
7,54,1683,3548
7,55,6055,14383
7,56,3708,9486
7,57,3582,9019
7,58,2754,6032
7,59,2262,4447
7,60,2166,3823
7,61,8196,13909
7,62,2367,4805
7,63,2315,4071
7,64,3724,7296
7,65,2621,5134
7,66,6375,11351
7,67,2739,4702
7,68,3406,8902
7,69,4011,7070
7,70,7945,16421
7,71,2714,4636
7,72,5575,12321
7,73,4860,10987
7,74,2655,6789
7,75,1530,3359
7,76,2251,4255
7,77,3474,8317
7,78,9823,19759
7,79,3581,5992
7,80,8886,16052
7,81,3543,8285
7,82,5409,12081
7,83,3028,5911
7,84,5849,10728
7,85,4005,8642
7,86,3348,8027
7,87,2346,6523
7,88,4528,8677
7,89,12192,18817
7,90,7158,12714
7,91,9402,17867
7,92,3344,6256
7,93,955,1361
7,94,5989,9591
7,95,1602,2560
7,96,2934,7864
7,97,2830,3565
7,98,4960,9623
7,99,6192,11536
7,100,5526,10996
7,101,6950,11970
7,102,7953,13646
7,103,9375,20796
7,104,4572,10762
7,105,6027,11134
7,106,2649,5202
7,107,4575,8555
7,108,1236,2989
7,109,2139,4800
7,110,5529,11681
7,111,1807,4684
7,112,195,369
7,113,9044,18694
7,114,5784,12923
7,115,2999,7342
7,116,2734,6177
7,117,3816,9007
7,118,3416,7741
7,119,5955,11716
7,120,5982,9506
7,121,5502,12318
7,122,8253,13884
7,123,4672,9215
7,124,2166,4688
7,125,4811,9067
7,126,9516,21248
7,127,2810,6009
7,128,1313,3418
7,129,320,665
7,130,4005,7374
7,131,1112,3031
7,132,2707,5352
7,133,5165,9622
7,134,1615,3671
7,135,11592,22425
7,136,12570,25595
7,137,6694,11894
7,138,6174,12887
7,139,3942,9230
7,140,2624,6116
7,141,11421,22509
7,142,5355,10888
7,143,6417,12983
7,144,3694,8060
7,145,7691,17087
7,146,2760,5814
7,147,10989,24994
7,148,5431,8649
7,149,4086,9702
7,150,1818,4319
7,151,5913,11024
7,152,4922,9618
7,153,4293,9723
7,154,8093,15571
7,155,2410,3847
7,156,1791,3757
7,157,13558,23536
7,158,3546,7941
7,159,13294,23027
7,160,1890,4790
7,161,1522,3695
7,162,2439,5941
7,163,3231,8579
7,164,4527,10480
7,165,3527,6867
7,166,3510,8674
